title,artist
Unconditionally,Katy Perry
Nightlife,Jody Watley
Young And Beautiful,Lana Del Rey
Work B**ch!,Britney Spears
Vicious,Kwanza Jones
Saturday Night,Natalia Kills
Still Dancing,Astraea
All Night,Icona Pop
Crucified (2013),Army Of Lovers
Higher,Deborah Cox Featuring Paige
You Make Me,Avicii
We Own The Night,The Wanted
Mad,VASSY
Insomniak,Jade Starling Featuring Lee Dagger
For Once In My Life,Mel B
MacArthur Park (2013),Donna Summer
Come With Me,Ricky Martin
Feva,Ranny Featuring Deepa Soul
Born To Love You,Clara Lofaro
Crystals,Dank Featuring jACQ
Thursday,Pet Shop Boys Featuring Example
Beg Borrow Steal,Ayah Marar
La La,Mia Martina
The Monster,Eminem Featuring Rihanna
Right There,Ariana Grande Featuring Big Sean
Timber,Pitbull Featuring Ke$ha
Go F**k Yourself,My Crazy Girlfriend
Somebody Loves You,Betty Who
Lights Out,Jessica Sutta
Tsunami,DVBBS & Borgeous
Countdown,Hardwell & MAKJ
Love Me Again,John Newman
Animals,Martin Garrix
Neon Lights,Demi Lovato
Booyah,Showtek Featuring We Are Loud! & Sonny Wilson
Suckfest9001,deadmau5
The Spark,Afrojack Featuring Spree Wilson
Take It Like A Man,Cher
So Close To Me,Kristine W
Pompeii,Bastille
Eat Sleep Rave Repeat,Fatboy Slim Featuring Beardyman
Royals,Lorde
Keep On Movin,Noah
Do What U Want,Lady Gaga Featuring R. Kelly
Lie To Me,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo
Indestructible,Veronica Jensen
Stay The Night,Zedd Featuring Hayley Williams
What To Do Now,Robbie Rivera & The EKGs
Echoes,"Henrik B, Niklas Gustavsson & Peter Johansson"
Loved Me Back To Life,Celine Dion
Stay The Night,Zedd Featuring Hayley Williams
Hey Brother,Avicii
Royals,Lorde
Born To Love You,Clara Lofaro
Work B**ch!,Britney Spears
Loved Me Back To Life,Celine Dion
Satellite,Justin Caruso & Aude Featuring Christina Novelli
Pompeii,Bastille
Lights Out,Jessica Sutta
Somebody Loves You,Betty Who
Gaudete,Erasure
Insomniak,Jade Starling Featuring Lee Dagger
The Spark,Afrojack Featuring Spree Wilson
Unconditionally,Katy Perry
Thursday,Pet Shop Boys Featuring Example
Eat Sleep Rave Repeat,Fatboy Slim Featuring Beardyman
What To Do Now,Robbie Rivera & The EKGs
All Night,Icona Pop
Come With Me,Ricky Martin
Crucified (2013),Army Of Lovers
Animals,Martin Garrix
Right There,Ariana Grande Featuring Big Sean
Suckfest9001,deadmau5
Neon Lights,Demi Lovato
Echoes,"Henrik B, Niklas Gustavsson & Peter Johansson"
Lie To Me,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo
Indestructible,Veronica Jensen
Keep On Movin,Noah
La La,Mia Martina
Love Me Again,John Newman
Booyah,Showtek Featuring We Are Loud! & Sonny Wilson
Thundergod,Danny Howard & Futuristic Polar Bears
MacArthur Park (2013),Donna Summer
Mad,VASSY
Timber,Pitbull Featuring Ke$ha
Crystals,Dank Featuring jACQ
Tsunami,DVBBS & Borgeous
Take It Like A Man,Cher
Saturday Night,Natalia Kills
Do What U Want,Lady Gaga Featuring R. Kelly
Vicious,Kwanza Jones
So Close To Me,Kristine W
You Make Me,Avicii
The Monster,Eminem Featuring Rihanna
For Once In My Life,Mel B
Incredible,Cary Nokey
Nightlife,Jody Watley
Higher,Deborah Cox Featuring Paige
Go F**k Yourself,My Crazy Girlfriend
We Own The Night,The Wanted
Animals,Martin Garrix
Unconditionally,Katy Perry
Lie To Me,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo
Work B**ch!,Britney Spears
For Once In My Life,Mel B
Go F**k Yourself,My Crazy Girlfriend
You Make Me,Avicii
Tsunami,DVBBS & Borgeous
Eat Sleep Rave Repeat,Fatboy Slim Featuring Beardyman
MacArthur Park (2013),Donna Summer
Hands Up In The Air,Audio Playground
So Close To Me,Kristine W
We Own The Night,The Wanted
Mad,VASSY
Nightlife,Jody Watley
Loved Me Back To Life,Celine Dion
Thundergod,Danny Howard & Futuristic Polar Bears
Satellite,Justin Caruso & Aude Featuring Christina Novelli
Crucified (2013),Army Of Lovers
Do What U Want,Lady Gaga Featuring R. Kelly
Dark Horse,Katy Perry Featuring Juicy J
Right There,Ariana Grande Featuring Big Sean
The Spark,Afrojack Featuring Spree Wilson
Somebody Loves You,Betty Who
Neon Lights,Demi Lovato
Take It Like A Man,Cher
Saturday Night,Natalia Kills
Stay The Night,Zedd Featuring Hayley Williams
Vicious,Kwanza Jones
Love Me Again,John Newman
Born To Love You,Clara Lofaro
Pompeii,Bastille
Insomniak,Jade Starling Featuring Lee Dagger
Take Me Away,Rokelle Featuring Dave Aude
Hey Brother,Avicii
Keep On Movin,Noah
Booyah,Showtek Featuring We Are Loud! & Sonny Wilson
Higher,Deborah Cox Featuring Paige
Echoes,"Henrik B, Niklas Gustavsson & Peter Johansson"
Suckfest9001,deadmau5
What To Do Now,Robbie Rivera & The EKGs
Gaudete,Erasure
Counting Stars,OneRepublic
The Monster,Eminem Featuring Rihanna
Timber,Pitbull Featuring Ke$ha
Incredible,Cary Nokey
Thursday,Pet Shop Boys Featuring Example
With You,Kimberly Davis
Indestructible,Veronica Jensen
All Night,Icona Pop
Saturday Night,Natalia Kills
Animals,Martin Garrix
Booyah,Showtek Featuring We Are Loud! & Sonny Wilson
Lie To Me,Cole Plante With Myon & Shane 54 Featuring Koko LaRoo
Unconditionally,Katy Perry
Neon Lights,Demi Lovato
Vicious,Kwanza Jones
Love Me Again,John Newman
Higher,Deborah Cox Featuring Paige
Somebody Loves You,Betty Who
What To Do Now,Robbie Rivera & The EKGs
So Close To Me,Kristine W
Suckfest9001,deadmau5
Alone Together,Fall Out Boy
Do What U Want,Lady Gaga Featuring R. Kelly
Incredible,Cary Nokey
Nightlife,Jody Watley
Take It Like A Man,Cher
Mad,VASSY
Crucified (2013),Army Of Lovers
We Own The Night,The Wanted
Thundergod,Danny Howard & Futuristic Polar Bears
All Night,Icona Pop
Games,Claire
Insomniak,Jade Starling Featuring Lee Dagger
Thursday,Pet Shop Boys Featuring Example
Now You're Mine,Kim Cameron
Right There,Ariana Grande Featuring Big Sean
The Spark,Afrojack Featuring Spree Wilson
Tsunami,DVBBS & Borgeous
Counting Stars,OneRepublic
The Monster,Eminem Featuring Rihanna
You Make Me,Avicii
Hey Brother,Avicii
Eat Sleep Rave Repeat,Fatboy Slim Featuring Beardyman
For Once In My Life,Mel B
MacArthur Park (2013),Donna Summer
Pompeii,Bastille
Take Me Away,Rokelle Featuring Dave Aude
Cannonball,Lea Michele
Hands Up In The Air,Audio Playground
Loved Me Back To Life,Celine Dion
Keep On Movin,Noah
Dark Horse,Katy Perry Featuring Juicy J
Gaudete,Erasure
With You,Kimberly Davis
Timber,Pitbull Featuring Ke$ha
Stay The Night,Zedd Featuring Hayley Williams
